"attacking_team","is_home","defending_team","shot_dist","dist_to_goal","shot_angle","body_part","shot_technique","shot_type","teammates_in_frame","opponents_in_frame","closest_opponent_dist","goalkeeper_dist","opponents_in_penalty_area","opponents_in_goal_area","opponents_in_shot_path","is_penalty","is_goal"
"AC Milan",1,"Bologna",5.20096144957834,12.1061967603372,36.3268259521202,"Right Foot","Half Volley","Open Play",3,5,0.921954445729287,6.00333240792145,3,1,1,0,0
"AC Milan",1,"Bologna",24.410038918445,22.8816520382598,16.7540127747336,"Right Foot","Half Volley","Open Play",3,6,6.32455532033675,19.723082923316,6,2,2,0,0
"Bologna",0,"AC Milan",17.1959297509614,14.0089257261219,25.8164221045355,"Left Foot","Normal","Open Play",5,7,2.56320112359526,4.4553338819891,4,0,0,0,0
"Bologna",0,"AC Milan",24.9393263742227,25.1882909305098,17.8535193148908,"Right Foot","Normal","Open Play",5,8,4.03112887414927,22.4750973301563,3,1,1,0,0
"AC Milan",1,"Bologna",21.5538859605408,21.1766380712331,21.3223991887455,"Right Foot","Normal","Open Play",3,5,1.40356688476183,17.414074767268,2,1,2,0,0
"AC Milan",1,"Bologna",5.00899191454728,6.53069674690228,60.5501172494172,"Right Foot","Normal","Open Play",3,10,2.18403296678416,3.21403173599764,8,5,2,0,0
"AC Milan",1,"Bologna",1.26491106406736,7.16100551598726,52.7526445405196,"Left Foot","Volley","Open Play",4,10,2.15870331449228,7.21110255092798,9,5,2,0,0
"AC Milan",1,"Bologna",1.51327459504216,9.4339811320566,43.9612782002557,"Right Foot","Half Volley","Open Play",3,8,2.08806130178211,7.55843899227876,7,1,2,0,0
"AC Milan",1,"Bologna",1.04403065089106,8.50058821494136,50.3972449792494,"Right Foot","Half Volley","Open Play",3,9,1.42126704035518,7.53259583410659,8,3,3,0,0
"AC Milan",1,"Bologna",26.9295376863399,30.4494663335829,2.31278398194188,"Right Foot","Normal","Free Kick",8,11,10.7280007457121,30.0413048984228,11,4,0,0,0
"AC Milan",1,"Bologna",1,9.74525525576421,37.5931281831441,"Head","Normal","Open Play",6,11,1.5556349186104,7.30068489937759,10,3,2,0,0
"AC Milan",1,"Bologna",4.93963561409139,19.423954283307,21.4016492825647,"Right Foot","Normal","Open Play",6,9,2.40416305603426,16.6388100536066,8,1,2,0,0
"AC Milan",1,"Bologna",15.6732255773979,10.4560986988456,41.1637518775313,"Head","Normal","Open Play",6,8,2.0591260281974,8.37257427557379,6,1,2,0,0
"Bologna",0,"AC Milan",30.348640826238,23.7697286480094,18.5288249478418,"Right Foot","Normal","Open Play",5,7,1.2,19.8879360417314,4,1,1,0,0
"Bologna",0,"AC Milan",22.8536649139695,22.749505489131,19.5806980491684,"Right Foot","Normal","Open Play",2,7,1.66433169770933,16.8881615340451,1,1,1,0,0
"AC Milan",1,"Bologna",1.86010752377383,13.6693086877135,17.9051482606177,"Left Foot","Normal","Open Play",1,7,2.74590604354919,11.1305884839931,7,4,2,0,0
"Bologna",0,"AC Milan",9.1268833672837,13.1034346642397,33.9440740465404,"Right Foot","Normal","Open Play",5,7,1.40356688476183,9.52575456328789,6,1,1,0,0
"Bologna",0,"AC Milan",8.6452298986204,8.57962703152066,42.0700748334727,"Right Foot","Half Volley","Open Play",4,6,1.70293863659264,3.86005181312375,6,1,1,0,1
"AC Milan",1,"Bologna",31.3805672351537,32.8184399385467,13.032668207462,"Right Foot","Normal","Open Play",5,10,1.552417469626,28.9115893717381,3,1,2,0,0
"Bologna",0,"AC Milan",6.94262198308392,17.3971261994618,19.2310867703149,"Right Foot","Normal","Open Play",1,3,2.03960780543711,7.72334124585985,3,0,1,0,0
"Bologna",0,"AC Milan",0.921954445729292,11.4690888914508,30.4785461021017,"Right Foot","Normal","Open Play",1,3,1.36014705087354,1.36014705087354,3,0,1,0,0
"AC Milan",1,"Carpi",27.86000717875,29.7435707338578,13.0656968776952,"Right Foot","Normal","Open Play",7,10,3.50570962859162,28.2962895094039,4,1,2,0,0
"AC Milan",1,"Carpi",1.56204993518133,18.0922635399775,16.733175026651,"Right Foot","Normal","Open Play",4,9,2.02484567313166,13.4357731448547,7,2,2,0,0
"AC Milan",1,"Carpi",19.2210821755696,30.2654919008431,13.2064507772295,"Right Foot","Normal","Open Play",6,10,3.45398320783411,28.2462386876554,5,1,2,0,0
"AC Milan",1,"Carpi",9.54620343382645,10.3247275993122,37.8487052033858,"Right Foot","Volley","Open Play",5,9,1.86815416922694,8.3240615086627,6,1,1,0,0
"AC Milan",1,"Carpi",23.7507894605632,23.0932890684718,18.869124992754,"Right Foot","Normal","Open Play",4,9,4.30116263352131,19.8153980530294,6,1,1,0,0
"AC Milan",1,"Carpi",6.92026011071838,31.4401017810057,11.711810971927,"Right Foot","Normal","Open Play",3,9,6.52150289427214,27.689889851713,5,1,2,0,0
"AC Milan",1,"Carpi",40.5044442006059,41.789233063075,10.6056199553402,"Left Foot","Normal","Open Play",7,10,2.22036033111745,38.3240133597722,1,1,3,0,0
"AC Milan",1,"Carpi",2.35372045918796,29.8484505460501,14.7040689010176,"Right Foot","Normal","Open Play",6,10,2.69258240356726,27.7200288600138,5,1,2,0,0
"AC Milan",1,"Carpi",11.906720791217,12.0838735511425,36.2114035064981,"Head","Normal","Open Play",7,11,1.76918060129542,10.8664621657649,11,4,2,0,0
"Carpi",0,"AC Milan",14.8922798791857,18.7800425984607,15.02924004943,"Left Foot","Normal","Open Play",1,6,1.80277563773199,13.5723984615837,4,1,1,0,0
"AC Milan",1,"Carpi",1.802775637732,23.6812161849851,18.5106367306962,"Right Foot","Normal","Open Play",4,7,1.92353840616713,20.4462710536665,4,1,2,0,0
"Carpi",0,"AC Milan",27.483813418083,31.0246676049881,13.908983693152,"Left Foot","Normal","Open Play",3,7,4.63896540189727,27.7634652015918,1,1,1,0,0
"Carpi",0,"AC Milan",3.60138862107383,20.354115063053,22.0840926103307,"Right Foot","Half Volley","Open Play",6,10,2.84429253066558,18.3698121928342,10,1,4,0,0
"Carpi",0,"AC Milan",29.5690716797129,31.5163449657475,13.2656138715431,"Left Foot","Half Volley","Open Play",6,10,6.76017751246223,28.7271648444464,5,1,1,0,0
"AC Milan",1,"Carpi",7.62954782408499,28.3282544467533,15.8974684178712,"Right Foot","Normal","Open Play",5,9,2.30217288664427,25.5274362206627,4,1,2,0,0
"AC Milan",1,"Carpi",3.605551275464,26.9046464388589,16.9100542474403,"Right Foot","Normal","Open Play",4,9,2.53179778023443,23.8052515214606,2,1,2,0,0
"AC Milan",1,"Carpi",7.22011080247388,20.7523492646013,19.0520034598922,"Right Foot","Normal","Open Play",4,9,2.72029410174709,17.2791782212002,8,1,2,0,0
"AC Milan",1,"Carpi",13.5092560861063,14.1088624630053,30.539351112712,"Head","Normal","Open Play",5,8,2.7459060435492,13,6,1,1,0,0
"AC Milan",1,"Carpi",26.9066906177627,27.1398231387016,16.6283844100884,"Right Foot","Half Volley","Open Play",6,9,3.81182371050918,24.3731409547477,6,1,2,0,0
"Carpi",0,"AC Milan",3.82883794381533,22.0002272715534,14.4729599310391,"Right Foot","Normal","Open Play",2,5,4.42040722106006,18.6034942954274,4,1,2,0,0
"AC Milan",1,"Carpi",9.94032192637642,26.720029940103,14.7686123956311,"Right Foot","Normal","Free Kick",8,11,10.0439036235918,25.656383221335,11,1,3,0,0
"AC Milan",1,"Carpi",14.9013422214242,16.8961534083945,26.5071904238041,"Head","Normal","Open Play",8,11,2.49999999999999,15.1426549851735,7,1,2,0,0
"AC Milan",1,"Carpi",6.1057350089895,11.2729765368336,19.0701036550845,"Left Foot","Normal","Open Play",5,6,6.87968022512675,6.87968022512675,6,2,1,0,0
"Carpi",0,"AC Milan",19.5601635984978,20.978083801911,14.5918307167871,"Left Foot","Normal","Open Play",3,5,2.37697286480094,17.3311857643959,5,1,1,0,0
"AC Milan",1,"Carpi",40.9190664605145,9.25742944882649,46.2462379310844,"Head","Normal","Open Play",4,9,0.854400374531756,8.13019064967113,8,1,1,0,0
"Chievo",0,"AC Milan",13.2849538952907,16.7260276216441,24.4635914166732,"Head","Normal","Open Play",6,11,0.640312423743288,14.450605523645,9,1,1,0,0
"AC Milan",1,"Chievo",20,22.6814902508632,19.2021881829872,"Left Foot","Normal","Open Play",4,9,2.68328157299975,20.2074243781834,5,1,1,0,0
"Chievo",0,"AC Milan",23.4241328548145,27.3183088788453,15.6072320102631,"Right Foot","Normal","Open Play",7,11,4.63249392876019,23.4917006621488,9,1,3,0,0
